Platform,TLSVersion,Ciphers,Extensions,sorted_Extensions,EllipticCurves,EllipticCurvePointFormats,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,User agent,Version,Protocol,,
chrome v111,771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,5-65281-51-35-16-23-27-18-43-17513-45-11-10-13-21,5-10-11-13-16-18-21-23-27-35-43-45-51-17513-65281,29-23-24,0,"""Google Chrome"";v=""111"", ""Not(A:Brand"";v=""8"", ""Chromium"";v=""111""",?0,"""Windows""","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",,,,
chrome v111 mobile,771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,5-51-27-23-45-13-43-10-65281-18-35-17513-16-11-21,5-10-11-13-16-18-21-23-27-35-43-45-51-17513-65281,29-23-24,0,"""Google Chrome"";v=""111"", ""Not(A:Brand"";v=""8"", ""Chromium"";v=""111""",?1,"""Android""","Mozilla/5.0 (Linux; Android 10; SM-G981B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Mobile Safari/537.36",,,,
chrome v110,771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21,5-10-11-13-16-18-21-23-27-35-43-45-51-17513-65281,29-23-24,0,"""Chromium"";v=""110"", ""Not A(Brand"";v=""24"", ""Google Chrome"";v=""110""",?0,"""Windows""","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,,,
chrome v110 mobile,771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21,5-10-11-13-16-18-21-23-27-35-43-45-51-17513-65281,29-23-24,0,"""Chromium"";v=""110"", ""Not A(Brand"";v=""24"", ""Google Chrome"";v=""110""",?1,"""Android""","Mozilla/5.0 (Linux; Android 10; SM-G981B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Mobile Safari/537.36",,,,
chrome v108,771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21,5-10-11-13-16-18-21-23-27-35-43-45-51-17513-65281,29-23-24,0,"""Not?A_Brand"";v=""8"", ""Chromium"";v=""108"", ""Google Chrome"";v=""108""",?0,"""Windows""","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",,,,
chrome v108 mobile,771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21,5-10-11-13-16-18-21-23-27-35-43-45-51-17513-65281,29-23-24,0,"""Not?A_Brand"";v=""8"", ""Chromium"";v=""108"", ""Google Chrome"";v=""108""",?1,"""Android""","Mozilla/5.0 (Linux; Android 10; SM-G981B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Mobile Safari/537.36",,,,
,,,,,,,,,,,,,,
Safari (Mac),772,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,45-17513-5-0-23-11-65281-10-35-18-27-51-43-13-16,0-5-10-11-13-16-18-23-27-35-43-45-51-17513-65281,29-23-24,0,-,-,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Version 16.3 (18614.4.6.1.6),,,
chrome v111 (Mac),772,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,13-18-5-16-0-51-45-23-27-35-11-43-65281-10-17513,0-5-10-11-13-16-18-23-27-35-43-45-51-17513-65281,29-23-24,0,-,-,-,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
edge v110 ,771,4865-4866-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21,5-10-11-13-16-18-21-23-27-35-43-45-51-17513-65281,29-23-24,0,"""Not A;Brand"";v=""24"", ""Chromium"";v=""110"", ""Microsoft Edge"";v=""110""",?0,"""Windows""","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.69",,443+80,,
